value,count,normalized,cum_norm
174,321,0.00386747,0.925337349
175,291,0.003506024,0.928843373
176,259,0.003120482,0.931963855
177,297,0.003578313,0.935542169
178,269,0.003240964,0.938783133
179,290,0.003493976,0.942277108
180,277,0.003337349,0.945614458
181,249,0.003,0.948614458
182,196,0.002361446,0.950975904
183,136,0.001638554,0.952614458
184,122,0.00146988,0.954084337
185,130,0.001566265,0.955650602
186,140,0.001686747,0.957337349
187,171,0.002060241,0.95939759
188,252,0.003036145,0.962433735
189,334,0.004024096,0.966457831
190,402,0.004843373,0.971301205
191,372,0.004481928,0.975783133
192,329,0.003963855,0.979746988
193,397,0.004783133,0.98453012
194,412,0.004963855,0.989493976
195,375,0.004518072,0.994012048
196,257,0.003096386,0.997108434
197,121,0.001457831,0.998566265
198,55,0.000662651,0.999228916
199,36,0.000433735,0.999662651
200,21,0.000253012,0.999915663
201,5,6.0241E-05,0.999975904
202,2,2.40964E-05,1
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
,83000,,
