value,count,normalized,cum_norm
176,298,0.003590361,0.943879518
177,228,0.002746988,0.946626506
178,234,0.002819277,0.949445783
179,193,0.002325301,0.951771084
180,161,0.001939759,0.953710843
181,142,0.001710843,0.955421687
182,154,0.001855422,0.957277108
183,188,0.00226506,0.959542169
184,270,0.003253012,0.962795181
185,397,0.004783133,0.967578313
186,407,0.004903614,0.972481928
187,390,0.004698795,0.977180723
188,329,0.003963855,0.981144578
189,388,0.004674699,0.985819277
190,437,0.00526506,0.991084337
191,350,0.004216867,0.995301205
192,226,0.002722892,0.998024096
193,101,0.001216867,0.999240964
194,47,0.000566265,0.999807229
195,8,9.63855E-05,0.999903614
196,5,6.0241E-05,0.999963855
197,3,3.61446E-05,1
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
,83000,,
